a good deal,ఎక్కువ
a great deal,ఎక్కువ
a lot,చాల
ab initio,మొదటిలో
aback,వెనక
abacus,పూసల చట్రము
abaft,వెనక
abalienation,పరాధీనము
abandon,మానుకొనుట
abandoned,త్యజించబడ్డ
abandonment,పరిత్యాగము
abase,అణుచుట
abased,అణిగిన
abasement,అవమానము
abashed,భంగపడ్డ
abate,తక్కువచేసుట
abated,తగ్గిన
abatement,తక్కువచేయడము
abba,అబ్బా
abbacy,మఠాధిపత్యము
abbot,గురువు
abbreviate,అనగా
abbreviated,వెలగపూడి
abbreviation,సంగ్రహము
abdicate,వర్జించుట
abdication,త్యజించడము
abdomen,క్రీకడుపు
abduction,తీసుకొనిపోవడము
Abelmoschus esculentus,బెండకాయ
abeyance,అనామత్తు
abeyant,విరామం
abhor,అసహ్యపడుట
abhorrence,అసహ్యము
abhorrent,చీదరగావుండే
abide,ఉండుట
abiding,నిలకడ
abigail,ఆడపాప
ability,పరాక్రమము
abject,అతిరిక్తుడు
abjectly,అతితుచ్ఛముగా
abjectness,నీచత్వము
abjuration,శపథము
able,శక్తిగల
able-bodied,కాయపుష్టిగల
ablution,కడగడము
ably,ఘనముగా
abnormal,అసామాన్యమైన
aboard,వాడమీద
abode,నివాసము
abolish,ఎత్తివేసుట
abolition,ఎత్తివేయడము
abominable,అసహ్యమైన
abominably,అసహ్యముగా
abominate,అసహ్యపడుట
abomination,అసహ్యము
aboriginal,అనాదియైన
abortive,నిరర్థకమైన
about,చుట్టూ
above,అధికమైన
above all,ఉన్నతంగా
above-board,బహిరంగముగా
abreast,జోడుగా
abridged,తగ్గించబడ్డ
abridgement,తగ్గడము
abroach,తెరిచిన
abroad,బయట
abrogate,కొట్టివేసుట
abrogated,కొట్టివేసిన
abrogation,కొట్టివేయడము
abrupt,అకస్మాత్తైన
abruptly,ఆకస్మాత్తుగా
abruptness,ఆకస్మికత
abscess,విద్రధి
abscond,పారిపోవుట
absence,అభావము
absent,అనుపస్థిత
absentee,లేనివాడు
absentmindedness,మతిమరుపు
absolute,నిరంకుశమైన
absolute majority,సంపూర్ణాధిక్యత
absolutely,బొత్తిగా
absoluteness,పరిష్కారము
absolution,విమోచనము
absolve,విముక్తిచేసుట
absolved,విడుదల
absorb,ఆకర్షించుట
absorbed,పీల్చబడ్డ
absorbing,పీల్చే
absorpt,పీల్చిన
absorption,ఈడ్చుకోవడము
abstain,మానుకొనుట
abstemious,మితభోజియైన
abstemiously,మితభోజనముగా
abstergent,నిర్మలముచేసే
abstinence,అభోజనము
abstinent,మితాహారియైన
abstract,సంగ్రహము
abstracted,సంగ్రహమైన
abstractedly,పరిష్కారముగా
abstraction,పరధ్యానము
abstractly,బొత్తిగా
abstruse,కఠినమైన
abstrusely,కఠినముగా
abstruseness,కాఠిన్యము
absurd,అనుచితమైన
absurdity,అవ్యక్తత
absurdly,అవ్యక్తముగా
abundance,యథేష్టము
abundant,యథేష్టమైన
abundantly,యథేష్టముగా
abuse,తిట్టు
abusive,తిట్టే
abusively,తిట్టి
abut,అనుకొనివుండుట
abutment,ముట్టుగోడ
abyss,అగాధము
acacia,కనివిందచెట్టు
academy,పాఠశాల
acatalectic,సంపూర్ణమైన
accede,అంగీకరించుట
accelerate,తీవ్రించుట
accelerated,తీవ్రించబడ్డ
acceleration,త్వర
accent,ఒత్తిపలుకుట
accept,అంగీకరించుట
acceptability,ఇష్టత
acceptable,అనుకూలమైన
acceptableness,ఇష్టము
acceptably,హితముగా
acceptance,అంగీకారము
acceptation,అంగీకారము
accepted,ఒప్పుకొన్న
access,ప్రవేశము
accessibility,లభించడం
accession,ప్రవేశము
accessory,సహాయుడు
accidence,లఘువ్యాకరణము
accident,ప్రమాదం
accidental,అకస్మాత్తైన
accidentally,అకస్మాత్తుగా
acclamation,జయధ్వని
acclimated,అలవాటుగల
acclivity,ఎక్కుడు
accommodate,అనుగుణ్యపరచుట
accommodating,ఓర్పుగల
accommodation,ఇమిడిక
accompaniment,మేళము
accompany,అనుసరించుట
accompanying,అనుసరించే
accomplice,సహకారి
accomplish,నెరవేర్చుట
accomplished,నెరవేరిన
accomplisher,నెరవేర్చేవాడు
accomplishment,చిత్రము
accompt,లెక్క
accord,సమ్మతి
accordance,అనుగుణ్యము
according to,ప్రకారము
accordingly,అనుగుణంగా
accost,ఎచ్చరించుట
