baal,భేతాళుడు
babble,వదురు
babbling,పిచ్చికూత
babel,కలవరము
bable,పేలుట
baboon,గండుకోతి
baby,శిశువు
babyish,పిల్ల
bacchanal,తాగుబోతు
bachelor,బ్రహ్మచారి
back,వీపు
back street,వీధి
backbite,కొండెముచెప్పుట
backbiter,కొండాలమారి
backbiting,కొండెము
backbone,వెన్నెముక
backbreaking,అసాధ్యమైన
background,పరస్థలము
backpiece,వీపుజీరా
backslide,తగ్గుట
backstairs,మరుగుదారి
backup,సంసర్గము
backward,జడమైన
backwardness,అనంగీకారము
backwards,జబ్బుగా
backwater,కయ్యి
backyard,పెరడు
bacteria,సూక్ష్మక్రిములు
bacterium,సూక్ష్మక్రిములు
bad,కాని
bad luck,దురదృష్టం
badge,చిహ్నము
badly,చెరుపుగా
badness,చెడ్డతనము
baffle,భంగముచేసుట
bag,గోతాము
bagatelle,అల్పము
baggage,సరంజాము
bagman,ఆకరు
bagpipe,తిత్తిసుతి
Bahamian dollar,డాలర్
Bahrain dinar,దీనార్
bailiff,కోర్టుబంట్రోతు
bailiwick,తుకుడి
bait,తీపి
baize,గొంగళి
bake,కాల్చుట
baked,కాల్చిన
baken,కాల్చబడ్డ
balance,తక్కెడ
balanced,సరితూగే
balcony,కొయ్య
bald,బట్ట
balderdash,కొంటెకూతులు
baldhead,బట్టతల
baldness,బోడి
baldpate,బట్టతల
baldy,బట్టతల
bale,కట్ట
baleful,నాశకారియైన
balk,నిరాశ
ball,ఉండ
ballad,నారుపాట
ballast,అడుగుబరువు
ballasted,అడుగుబరువుగల
ballon,పొగగుమ్మటము
ballroom,నాటకశాల
balm,ఉపశంతి
balmy,ఉపశాంతికరమైన
balsamic,పరిమళించే
baluster,చెయిపిడిగోడ
balustrade,చెయిపిడిగోడ
bamboo,వెదురు
bamboozle,మోసపుచ్చుట
ban,నిషేధము
BAN,నిషేధము
banana,అరటిచెట్టు
banana tree,అరటిచెట్టు
band,కట్టు
bandage,కట్టు
bandbox,కాకితముతో
banded,గుంపుగావుండే
bandicoy,బెండకాయ
bandog,కావలికుక్క
bandy,కొట్లనుగురించినమాట
bandy-legged,దొడ్డికాళ్ళుగల
bane,విషము
baneful,చెరుపైన
Bangalore,బెంగళూర్
Bangla Desh,బంగ్లాదేశ్
Bangladesh,బంగ్లాదేశ్
bangles,గాజులు
banian,మర్రిచెట్టు
banian tree,మర్రిచెట్టు
banians,హిందువులు
banish,త్యజించుట
banished,వెళ్ళగొట్టబడ్డ
banishment,వెళ్ళగొట్టడము
bank,ఒడ్డు
bank check,చెక్కు
bank-note,నోటు
banker,కొఠీదారుడు
banking,కొఠీవ్యాపారము
bankrupt,దివాలెత్తినవాడు
bankruptcy,దివాలుయెత్తడము
banner,కొడి
bannister,చెయిపిడి
banquet,విందు
banter,పరిహాసము
bantling,పిల్ల
banyan,మర్రిచెట్టు
banyan tree,మర్రిచెట్టు
baptise,బాటీజించుట
bar,కంబి
barb,వ్యంగ్యం
barbacan,బురుజు
barbarian,అమర్యాదస్థుడు
barbarous,మోటు
barbarously,నిష్కంటకముగా
barbarousness,క్రూరత్వము
barbed,చిల్లలుగల
barber,క్షవరకుడు
bard,కవీశ్వరుడు
bare,ఉత్త
bare-faced,సిగ్గుచెడ్డ
bare-headed,ఒట్టితలగల
barefacedly,సిగ్గుమాలి
barefoot,ఒట్టికాళ్ళతో
barely,అరుదుగా
bareness,లేకవుండడము
bargain,ఒడంబడిక
bargaining,అమ్మడము
barge,లేక
barilla,వుప్పు
Baring,ఆవిష్కరణ
bark,పట్ట
barley,బార్లిబియ్యము
barley-corn,బార్లిగింజ
barm,కాడి
barn,కణజము
baron,జమీందారు
baronial,అందమైన
barrelled,గొట్టముగల
barren,గొడ్డైన
barrenness,గొడ్డుతనము
barricade,అడ్డము
barricadoed,అడ్డకట్టిన
barrier,అడ్డు
barrister,వకీలు
barter,మార్చుకొనుట
bas-relief,ఉబుకుపని
base,అడుగు
base-born,పలువిత్తైన
based,ఆధారముగల
baseless,నిరాధారమైన
basely,తుచ్ఛముగా
basement,మూలము
baseness,పోకిరితనము
bashaw,పాచ్ఛా
bashful,సంకోచముగల
