each,ఒకడొకడు
eager,అత్యాశగల
eagerly,అత్యాశగా
eagerness,ఆతురము
eagle,గరుత్మంతుడు
eagle-eyed,సూక్ష్మబుద్దిగల
eaglet,గూళిపిల్ల
ear,కర్ణము
ear-wax,గులిమి
earl,జమీందారి
earlier,ఆదిని
earliest,మొదటి
early,శీఘ్రపు
earn,సంపాదించుట
earnest,అచ్చారము
earnestly,అక్కరగా
earnestness,అక్కర
earning,దున్నడము
earnings,సంపాద్యము
earring,కుండలము
earshot,వినబడేదూరము
Earth,ప్రపంచం
earth,ప్రపంచం
earthen,మంటి
earthiness,మంటివాసన
earthly,ఐహికమైన
earthnut,వేరుశనగలు
earthquake,భూకంపము
earthworm,యెర్రలు
earthy,మృణ్మయమైన
earwax,గుబిలి
ease,సుఖము
easily,అనాయాసముగా
easiness,అనాయాసము
east,ప్రాగ్దిశ
East Indian,చటకారివాడు
East Indian fig tree,మర్రిచెట్టు
East Pakistan,బంగ్లాదేశ్
easterly,తూర్పుదేశసంబంధమైన
eastward,తూర్పుకు
easygoing,ఆనందమైన
eat,తిను
eat on,తిను
eat up,అవు
eatable,తినదగిన
eaten,తినివేసిన
eater,తినేవాడు
eating,తినడము
eating away,క్షీణించుట
eau,నీళ్లు
eaves,చూరు
ebb,క్షణగతి
ebon,నల్లని
ebony,నల్లచేవమాను
ebriety,కైపు
ebullition,పొంగడము
eccentric,వింతైన
eccentricity,వెర్రిచేష్ఠ
ecclesiastic,పాదిరి
ecclesiastical,పాదిరిమతసంబంధమైన
echo,ప్రతిధ్వని
echoed,ప్రతిధ్వనించి
echoing,ప్రతిధ్వనించే
eclaircissement,తీర్పు
eclat,ఖ్యాతి
eclectic,పరిశీలనచేసే
eclipse,ఉపరాగము
ecliptic,క్రాంతిమండలము
economic,రాజ్యసంబంధమైన
economic science,అర్థశాస్త్రం
economical,పొడిమైన
economically,క్రమముగా
economics,అర్థశాస్త్రం
economist,నిర్వాహకి
economy,గృహకృత్యనిర్వాహకము
ecstasy,ఆనందము
ecstatic,ఆనందభరితమైన
eddy,ఆవర్తము
eddying,సుడిబడే
edge,అంచు
edged,అంచుగల
edgeless,జబ్బైన
edgewise,ఓరవాటుగా
edging,అంచు
edible,భక్షించదగిన
edict,ఆజ్ఞ
edifice,దివ్యభవనము
edify,నిష్టకలుగచేసుట
edition,ముద్రణ
editor,సంపాదకుడు
editor in chief,సంపాదకుడు
educate,శిక్షచెప్పుట
educated,శిక్షితమైన
Education,విద్య
education,విద్య
educational,విద్యాసంబంధమైన
educational activity,విద్య
eerie,భయంకరమైన
eery,భయంకరమైన
effable,చెప్పనలవియైన
efface,కొట్టివేయుట
effect,క్రియ
effected,తీరిన
effectively,బలముగా
effector,నెరవేర్చినవాడు
effectual,సఫలమైన
effectually,బొత్తిగా
effeminate,అప్రయోజకుడైన
effeminately,అప్రయోజకుడుగా
effervesce,పొంగుట
effervescence,పొంగు
effervescent,పొంగే
effete,జబ్బైన
efficacious,ఫలకరమైన
efficaciously,ప్రయోజనకముగా
efficaciousness,గుణము
efficiency,త్రాణ
efficient,కరణము
effigies,పటము
effigy,పటము
efflorescence,దద్దుర్లు
efflorescent,పూచిన
effluent,ఉత్పన్నమైన
effluvium,వాసన
efflux,కారడము
effort,యత్నము
effrontery,సిగ్గుమాలినతనము
effulgence,కాంతి
effused,కారిన
effusion,కుమ్మరించడము
eft,గౌళి
egalitarian,సామ్యవాది
egestion,విసర్జనముచేయడము
egg,అండము
egg-plant,వంగచెట్టు
egg-shaped,అండాకారము
eggplant,వంకాయ
eggplant bush,వంకాయ
ego,అహంభావము
egotist,అహంకారి
egotistic,అహంకారియైన
egotistical,అహంకారియైన
egregious,అతిశయించిన
egregiously,నిండా
egress,బయలుదేరడము
Egypt,ఈజిప్టు
Egyptian Empire,ఈజిప్టు
eight,ఎనిమిది
Eight,ఎనిమిది
eighteen,పద్దెనిమిది
eighteenth,పద్దెనిమిదో
eighter,ఎనిమిది
eighter from Decatur,ఎనిమిది
eighth,యెనిమిదో
eighthly,యెనిమిదోదిగా
eighty,యెనభై
either,అయినా
eject,నివర్తిచేసుట
ejected,బయటికితోయబడ్డ
ejection,నివర్తిచేయడము
