fable,కట్టుకథ
fabled,ప్రసిద్ధమైన
fabricate,కల్పించుట
fabricated,కల్పించిన
fabrication,కల్పన
fabulist,కథకుడు
fabulous,కల్పితమైన
fabulously,కథగా
face,ముఖము
face fungus,గెడ్డం
faced,ముఖముగల
faces,పురీషము
facet,పట్టె
facetious,రసికతగల
facetiously,సరసముగా
facetiousness,యెగతాళి
facias,చాటింపు
facile,సులభమైన
facilitate,సులభముచేసుట
facility,చులకన
facing,యెదటి
fact,కలస్థితి
faction,కక్షి
factious,కలహముచేసే
factiously,కలహముగా
factitious,కృత్రిమమైన
factor,గుమాస్తా
factory,ఖార్ఖానా
factotum,హస్తకుడు
factual,యధార్థమైన
faculty,శక్తి
FAD,వెర్రి
fade,క్షయించుట
faded,క్షీణించిన
fadeless,వాడని
fading,అమ్లానమైన
faerie,అప్సరస
faery,అప్సరస
fagged,అలిసిన
fail,తప్పిపోవడము
failing,కళంకము
failure,తప్పడము
fain,సంతోషముగల
faineance,సోమరితనము
faineant,అధీరుడు
faint,దుర్భలమైన
faint-hearted,కోచఅయిన
fainting,మూర్ఛ
faintish,కొంచెము
faintly,జబ్బుగా
faintness,జబ్బు
fair,సంత
fairish,తెల్లని
fairly,తీరా
fairness,సౌందర్యము
fairy,మాయ
faith,ఆసక్తి
faithful,ప్రామాణికమైన
faithfully,సద్భక్తిగా
faithfulness,విశ్వాస్యత
faithless,ద్రోహమైన
faithlessness,కపటము
fake,మారని
fakeer,పకీరు
fakir,పకీరు
falcon,డేగ
Fall,పతనము
fall,పడడము
fall apart,చినుగు
fall out,రాలు
fallacious,నమ్మరాని
fallaciously,కృత్రిమముగా
fallaciousness,కృత్రిమము
fallacy,కృత్రిమము
fallen,పడ్డ
fallibility,పొరబాటు
fallible,పొరబడే
falling,పడడము
falling sickness,కాకిసోమాల
fallows,పోళ్లు
Falls,సెలయేరు
false,మాయమైన
false name,అలియాస్
false-hearted,కపటియైన
falsehood,అనృతము
falsely,అనృతముగా
falseness,అప్రామాణికత
falsification,అబద్ధము
falsity,అబద్ధము
falter,తడబడుట
fame,కీర్తి
famed,పేరుగాంచిన
familial,కుటుంబ
familiar,అంతరంగుడు
familiar with,పరిచయమైన
familiarity,అలవాటు
familiarize,అలవరచుట
familiarized,పనుబడ్డ
familiarly,చనువుగా
family,కుటుంబము
family relationship,బంధుత్వము
family tree,వంశవృక్షము
famine,కరువు
famished,ఆకలిగొన్న
famous,ప్రసిద్ధమైన
famously,ప్రఖ్యాతిగా
fan,విసనకర్ర
fanam,రూక
fanatic,మూఢభక్తిగలవాడు
fanaticism,మతవైరాగ్యము
fancied,కల్పితమైన
fanciful,చపలచిత్తమైన
fancifully,శృంగారముగా
fancy,యెన్నిక
fancy woman,వేశ్య
fancywork,అల్లిక
fandango,నాట్యవిశేషము
fane,గుడి
fang,శాంతం
Fang,శాంతం
fangled,చోద్యముగావుండే
fanlight,కిటికి
fantastic,చోద్యమైన
fantastically,చోద్యముగా
fantasticalness,చోద్యము
fantom,భూతము
faquir,పకీరు
far,దూరమైన
far-famed,జగద్విశ్రాంతమైన
farce,ప్రహసనము
farcical,నవ్వించే
fare,కూలి
Farewell,వీడ్కోలు
farina,పిండి
farinaceous,పిండిగావుండే
farm,గుత్త
Farmer,రైతు
farmer,రైతు
farrago,కలవరకంప
farrier,లాడముకట్టేవాడు
Farsi,పారసీ
farsightedness,దూరదృష్టిగల
farther,ఆవలి
fartherance,అభివృద్ది
farthermore,మరిన్ని
farthest,అన్నిటికంటే
farthing,అనగా
fascinated,తడకట్టిన
fascinating,సరసమైన
fascination,కట్టు
fascine,కట్టెలదిండు
fashion,తీరు
fashionable,నాగరీకమైన
fashionably,నాగరీకముగా
fast,ఉపవాసము
fasten,అంటుకొనుట
fastening,బందు
fastidious,సున్నితమైన
fastidiously,అసహ్యముగా
fastidiousness,అసహ్యపడడము
