gabble,పిచ్చికూతలు
gabbler,వదురుబోతు
gabbling,పిచ్చికూతలు
gable,కురుమాడు
GAD,ఆవారా
gad about,దేశమ్మకాకి
gaffer,తాత
gag,ముగ్గొయ్య
gage,కదువ
gaiety,ఉల్లాసము
gaily,ఉల్లాసముగా
gain,ప్రయోజనము
gain ground,గెలుపు
gained,గణించిన
gainful,ఆదాయముగల
gaining control,స్వాధీనము
gainsay,దురాక్షేపణచేసుట
gainsayer,ఆక్షేపించువాడు
gainsaying,అడ్డముచెప్పడము
gait,గమనము
gaiters,లేక
gala,ఉత్సవము
galangal,సన్నదుంపరాష్ట్రము
galaxy,నక్షత్రవీధి
gale,గాలి
galiot,చిన్నవాడ
gall,కోపము
gallant,మిండగాడు
gallantly,ఘనముగా
gallantry,ఘనత
gallery,తాళ్వారము
galley,వాడ
galliard,సొగసుగాడు
galling,అయాసకరమైన
gallinule,బిచ్చుళి
gallipot,కరాటము
gallivant,ఆవారా
gallon,రెండున్నరపడిపట్టుతున్నది
gallows,తూకుమాను
gambit,మోసం
gamble,జూదమాడుట
gambler,జూదమాడేవాడు
gambling,జూదము
gambol,గంతులువేయుట
gambols,గంతులు
game,ఆట
game equipment,ఆటవస్తువులు
gamecock,పందెపుకోడి
gamekeeper,కావలివాడు
gamesome,ఆట్లాడే
gamester,జూదాలమారి
gaming,ఆట
gammer,ముసలమ్మ
gamut,సరళి
gander,మొగబాతు
gang,గుంపు
gangrened,కుళ్లిన
ganja,గంజాయి
gaol,చెరసాల
gaoler,చెరసాలాధ్యక్షుడు
gap,కసమ
gape,ఆవలింత
gaping,ఆవలింత
garage,గ్యారేజ్
garb,ఉడుపు
garble,నేముట
garbled,కోడిన
garce,గరిశ
garden,తోటమాలి
garden egg,వంకాయ
Gardener,తోటమాలి
gardening,తోటపని
gargle,పుక్కిలించుట
garland,తోరణము
garlic,తెల్లగడ్డ
garlic clove,పాయ
garment,వస్త్రము
garner,కణజము
garnet,కెంపు
garnish,శృంగారము
garnished,అలకరించిన
garniture,శృంగారము
garreteer,దిక్కుమాలనివాడు
garrulity,బహుభాషిత్వము
garrulous,బహుభాషియైన
gas,గాసు
gas lighter,చిచ్చుగోలు
gas-light,గాసుదీపము
gasconading,జల్లి
gaseous state,గ్యాసు
gashed,గాయమైన
gasking,యిజారు
gasp,యెగరోజు
gastronome,గర్భదరిద్రుడు
gastronomy,తిండిరుచి
gate,తలవాకిలి
gatehouse,చావిడి
gatekeeper,ద్వారపాలకుడు
gateway,సింహద్వారము
gather,కూడబెట్టుట
gather up,ఎత్తు
gathered,కూడిన
gatherer,కూడబెట్టేవాడు
gathering,కూటమి
gathers,చుంగులు
gaud,నగ
gaudiness,జంభము
gaudy,చిత్రవిచిత్రమైన
gauge,కొలత
gauger,కొలిచేవాడు
gauging,కొలవడము
gaunt,యెండుకొనిపోయిన
gauntlet,చెయిజీరా
Gautama,గౌతమబుద్ధుడు
Gautama Buddha,గౌతమబుద్ధుడు
Gautama Siddhartha,గౌతమబుద్ధుడు
gauze,గాజుగుడ్డ
gawky,మందుడు
gay,ఉల్లాసమైన
gayal,అడవిగోపు
gayety,ఉల్లాసము
gayly,ఉల్లాసముగా
gazelle,మృగము
gazette,సమాచారపత్రిక
gazetted,ప్రకటనచేయబడ్డ
gazump,దోచుకొనుట
GB,బ్రిటన్
gecko,ఊసరవెల్లి
geezerhood,వృద్దాప్యము
gehenna,నరకము
gelatine,పేరుకొన్నది
gelatinous,పేరుకొన్నది
geld,కాలుపట్టుట
gelded,కాలువట్టిన
gelid,అతిశీతలమైన
gelt,కాలుపట్టిన
gem,రత్నము
gemini,మిధునరాశి
gemmed,రత్నఖచితమైన
gendarme,బంట్రోతు
gender,లింగము
genealogically,వంశపరంపరగా
genealogy,వంశపరంపర
general,సేనాధిపతి
generalissimo,సర్వసేనానాయకుడు
generality,అధికాంశము
generalization,ఏర్పరచడము
generalize,ఏర్పరుచుట
generalship,సేనాధిపతిత్వము
generate,కలగచేసుట
generated,కలిగిన
generation,ఉత్పత్తికావడము
generative,ఉత్పాదక
generator,కలగచేసేది
generic,జాతిసంబంధమైన
generical,జాతిసంబంధమైన
generosity,ఈవి
generous,ఈవిగల
generously,దాతృత్వముగా
generousness,ఈవి
