I,నేను
iam,నేను
ICE,మంచు
ichor,చీము
iciness,అతిశీతలము
icon,ప్రతిమ
ictus,ప్రకోపము
icy,అతిశీతలమైన
Id al-Fitr,రంజాన్
idea,అభిప్రాయము
ideal,అనుమానమైన
idealist,నాస్తికుడు
ideally,ఊహగా
identically,సాక్షాత్తు
identity,అనన్యత
ides,పూర్వకాలములో
idiocy,పిచ్చి
idiom,జాతీయము
idiomatic,జాతీయమైన
idiomatical,జాతీయమైన
idiomatically,జాతీయముగా
idle,వూరకవుండే
idleness,సోమారితనము
idler,పంద
idling,సోమరితనము
idly,పనికిమాలి
idol,ప్రతిమ
idolater,విగ్రహారాధ్యుడు
idolatrous,విగ్రహపాజచేసే
idolatrously,విగ్రహపూజగా
idolatry,విగ్రహపూజ
idyllic,అందమైన
igneous,అగ్నిమయమైన
ignis fatuus,కొరివిదయ్యము
ignited,అంటుకొన్న
ignition,అంటుకోవడము
ignoble,అల్పమైన
ignobly,తుచ్ఛముగా
ignominious,అల్పమైన
ignominiously,అపకీర్తిగా
ignominy,అప్రతిష్ట
ignoramus,అవజ్ఞుడు
ignorance,అజ్ఞానము
ignorant,అవివేకియైన
ignorantly,అజ్ఞానముగా
ignore,తెలియదనుట
iguana,ఉడుము
II,రెండు
III,మూడు
ikon,పటము
Ilion,ట్రాయ్
Ilium,ట్రాయ్
ilk,దేశము
ill,సంకటము
ill fame,అపకీర్తి
ill feeling,అసహ్యము
ill fortune,దురదృష్టము
ill humour,ఆగ్రహము
ill luck,దురదృష్టము
ill will,పగ
ill-advised,అవివేకమైన
ill-affected,ఆంతర్యమైన
ill-bred,మడ్డియైన
ill-breeding,మడ్డితనము
ill-conditioned,ఏదోవకురాని
ill-contrived,మోటైన
ill-disposed,దుర్భధ్దిగల
ill-fated,దురదృష్టముగల
ill-favoured,అవలక్షణమైన
ill-founded,నిరాధారమయిన
ill-gotten,అన్యాయార్జితమయిన
ill-grounded,నిరాధారమైన
ill-humoured,కోపిష్టియైన
ill-judged,అవివేకమైన
ill-judging,అవివేకమైన
ill-made,వికారమైన
ill-omened,అపశకునముగల
ill-paid,స్వల్పజీతముగల
ill-rewarded,నిష్పలమైన
ill-spent,దుర్వ్యయమైన
ill-timed,అసమయమైన
ill-treated,దౌర్జన్యమునుపొందిన
ill-treatment,దౌర్జన్యము
illapse,ఆవాహనము
illegal,అన్యాయమయిన
illegality,అక్రమము
illegally,అక్రమముగా
illegible,చదువకూడని
illegibly,చదువకూడక
illegitimacy,అక్రమము
illegitimate,అక్రమమైన
illiberality,కుత్సితము
illiberally,అల్పముగా
illicit,అక్రమమైన
illimitable,అపరిమితమైన
illiteracy,నిరక్షరాస్యత
illiterate,చదువులేని
illness,జాడ్యము
illogical,అన్యాయమైన
illogically,అన్యాయముగా
illude,మాయచేయు
illume,ప్రకాశింపచేయు
illumed,జ్ఝానముగల
illuminate,వెలిగించుట
illuminated,ప్రకాశించే
illumination,జ్యోతి
illusion,మాయ
illusionist,మాంత్రికుడు
illusive,నమ్మరాని
illusory,నమ్మరాని
illustrate,తేటపరచుట
illustrated,తేటపరచిన
illustration,ఉదాహరణము
illustrative,బోధచేసే
illustrious,శ్రీమత్
illustriously,కీర్తిగా
illustriousness,గొప్పతనము
image,బింబము
imagery,చిత్రము
imaginable,ఎంచకూడిన
imaginary,మానసిక
imagination,ఎన్నిక
imaginative,భ్రమగావుండే
imagine,అనుకొనుట
imagined,అనుకొన్న
imaging,ఊహ
imbecile,దుర్భలమైన
imbecility,జబ్బు
imbed,పాతు
imbedded,చెక్కిన
imbibe,ఈడ్చుకొనుట
imbibed,ఈడ్చుకౌన్న
imbruted,పశుప్రాయుడైన
imbue,నానబెట్టుట
imbued,అద్దకముచేసిన
imitable,అనుకరించుట
imitation,అనుకరణ
imitative,అనుకరించే
Immaculate Conception,అమలోద్భవము
immaterial,అప్రయోజకమైన
immateriality,నిరాకారత్వము
immature,అపక్వమైన
immaturely,అపక్వముగా
immatureness,అపక్వము
immaturity,అపక్వము
immeasurable,అపరిమితమైన
immeasurably,అపరిమితముగా
immediate,అవ్యవధానమైన
immediately,తక్షణము
immemorial,అనాధియైన
immense,అపరిమితమైన
immensely,అపారముగా
immensity,బ్రహ్మాండము
immensurable,అపరిమితమైన
immerse,ముంచుట
immersed,మగ్నమైన
immersion,ముంచడము
immethodical,అకటవికటమైన
immethodically,అకటవికటముగా
immigrant,పరదేశి
