K,వేయి
kabob,కబాబ్
kameez,చొక్కా
Kanarese,కన్నడ
Kannada,కన్నడ
Kashmir,కాశ్మీర్
kebab,కబాబ్
kedgeree,కిచిడి
keel,వేన్నుపలక
keen,వాడియైన
keenly,ఉగ్రత
keep,కావలి
keep back,ఆపు
keeper,కాపాడేవాడు
keeping,కావలి
keeping on fire,దహనం
ken,తెలుసుకొనుట
kennel,కాలవ
kernel,లోనిది
kerosene,చమురు
kerosene lamp,దీపము
kerosine,చమురు
kerosine lamp,దీపము
kersey,ముతకకోక
ketchup,వ్యంజనము
kettle,గూన
kettledrum,డమారము
Key,తాళము
keyboard,మీటలపలక
keyword,కీలకపదము
KG,కేజి
Khond,కోండువాడు
kibosh,ఉండు
kick,తన్ను
kickshaw,చిరుతిండి
kid,మేకపిల్ల
kidney,లంఖం
kilderkin,చిన్నపీపాయి
kill,చంపుట
killer,చంపేవాడు
killing,వధ
kiln,ఆవము
kilo,కేజి
kilogram,కేజి
kilometer,కిలోమీటర్
kilometre,కిలోమీటర్
kin,చుట్టరికము
kin group,బంధుత్వము
kind,జాతి
kind-hearted,దయగల
kindhearted,దయగల
kindle,అంటుకొనుట
kindly,దయచేసి
kindness,ఉపకారము
kindred,సంబంధముగల
kine,ఆవులు
King,రాజు
king,రాజు
kingdom,రాజ్యము
Kingdom of Bhutan,భూటాన్
kingfisher,చల్లకవ్వపుపిట్ట
kinglike,అతిఘనమైన
kingly,అతిఘనమైన
kingship,దొరతనము
kink,బెణుకు
kinsfolk,చుట్టాలు
kinship,బంధుత్వము
kinship group,బంధుత్వము
kinsman,చుట్టపువాడు
kinswoman,చుట్టపుది
kiosk,పాక
kirtle,కోక
kiss,ముద్దు
kissing,దయ
kit,చిన్నపిడీలు
kitchen,వంటగది
kitchen range,పొయ్యి
kitchen stove,పొయ్యి
kite,గద్ద
kith and kin,చుట్టాలుపక్కాలు
kitten,పిల్లికూన
klick,కిలోమీటర్
km,కిలోమీటర్
knack,ఉపాయము
knag,కొయ్యమొద్దు
knap,కోయు
knave,దొంగ
knavery,టక్కు
knavish,పితలాటకమైన
knavishly,పితలాటకముగా
knavishness,పితలాటకము
knead,పిండిపిసుకుట
knee,మోకాలు
knee-deep,మోకాటిలోతైన
knee-pan,మోకాటిచిప్ప
kneel,మోకారించుట
knell,చావుగంటశబ్దము
knife,కత్తి
knife edge,పదును
knifelike,సూక్ష్మబుద్దిగల
knight,గుర్రము
knighthood,శూరకులీనత్వము
knit,అల్లిక
knitting,నేత
knobbed,గుబ్బలుగల
knock,తలుపుతట్టడము
knockdown,పడవేయుట
knoll,తిప్ప
knop,గుబక
knot,గ్రంధి
knot-grass,చిగిరింతగడ్డి
knotted,బుడుపులుగల
knottiness,క్లిష్టము
knotty,చిక్కైన
know,ఎరుగుట
knowing,కార్యవ్యక్తులైన
knowingly,ఎరిగి
knowingness,అనుభవము
knowledge,ఏరుక
known,ఎరిగిన
knuckle,గెణుపు
Kohl,కాటుక
koran,ఖురాను
Korean,కొరియన్
kraal,దొడ్డి
kudos,ప్రశంసలు
Kuwaiti dinar,దీనార్
Kuwaiti dirham,దీనార్
kymograph,తరంగలేఖిని
