M,వేయి
macaroni,తేనెతొలలు
Macau,వొకవిధమైన
Mace,సోటా
mace,జాపత్రి
mace-bearer,వెండిబెత్తపువాడు
macerate,కృశింపచేసుట
maceration,కృశింపచేయడము
machination,ఉపాయము
machine,ఉపకరణము
machinery,తంత్రము
macrocosm,విశ్వము
Macrotyloma uniflorum,వులవలు
mad,పిచ్చి
mad apple,వంకాయ
madcap,దుస్సాహసి
madden,పిచ్చిచేసుట
made,నిర్మింపబడిన
made-up,కల్పితమైన
madly,వెర్రిగా
madman,ఉన్మత్తుడు
madness,ఉన్మాదము
madonna,మేరీ
madras,చెన్నపట్టణము
madwoman,పిచ్చి
Maelstrom,సుడిగుండం
maestro,కళాకారుడు
MAG,వార్తాపత్రిక
magazine,కొట్టు
maggot,క్రిమి
magi,మునీశ్వరులు
magic,ఇంద్రజాలము
magic trick,గారడి
magical,మాంత్రిక
magically,విపరీతముగా
magician,శూన్యగాడు
magisterial,అహంకారముగల
magisterially,అహంకారముగా
magistracy,పోలీసుఅధికారము
magistrate,పోలీసుదొర
magna charta,మహాచట్టము
magnanimity,ధైర్యము
magnanimous,ధైర్యముగల
magnates,పెద్దలు
magnet,కాంతరాయి
magnetic,ఆకర్షకమైన
magnetical,ఆకర్షకమైన
magnification,అతిశయోక్తి
magnificence,జంభము
magnificent,ఘనమైన
magnificently,ఘనముగా
magnifico,భాఘ్యవంతుడు
magnified,పూజ్యమైన
magnifier,భూతఅద్దము
magnify,స్తుతించుట
magnitude,గొప్పతనము
Mahabharata,మహాభారతము
Mahabharatam,మహాభారతము
Mahabharatum,మహాభారతము
Maharashtra,మహారాష్ట్ర
mahogany,మాగనిమాను
mahratta,మరాటివాడు
Mahratti,మరాఠి
maid,కన్య
maiden,కన్య
maidenhead,కన్నెరికము
maidenly,అణుకువగల
maidservant,బోనకత్తె
mail,కవచము
mail service,తపాలా
mailed,జీరాతోడుక్కొన్న
mailing-card,ఉత్తరము
maim,కుంటు
main,ముఖ్యభాగము
main road,కూకటిదారి
mainland,ద్వీపము
mainly,బహుశః
mainprize,జామీను
mainstay,స్తంభము
maintain,కాపాడుట
maintainable,సాధించతగ్గ
maintainer,పోషకుడు
maintenance,సంరక్షణ
maize,మొక్కజొన్న
majestic,గంభీరమైన
majestically,గంభీరముగా
majesty,ఘనత
Major,ప్రాధాన్యమైన
major,ప్రాధాన్యమైన
major planet,గ్రహం
majority,బహుమంది
majority party,అధికసంఖ్యాక పక్షము
make,స్వరూపము
make headway,గెలుపు
make-up,అలంకరణ
makebate,కలహగాడు
maker,సృష్టికర్త
makeup,అలంకరణ
makeweight,పెరికె
malabar,అరవము
malady,నలి
malapert,తలకొవ్విన
malaria,విషయగాలి
Malayan,మలేషియా
Malaysian,మలేషియా
malcontent,రాజద్రోహి
male monarch,రాజు
male parent,నాన్న
malediction,తిట్లు
malefactor,నేరస్థుడు
malevolence,ద్వేషము
malevolent,ద్వేషముగల
malformation,కురూపము
malfunction,చెడిపోవుట
malice,అసూయ
malicious,కార్పణ్యముగల
maliciously,ద్వేషముగా
malign,క్రూరమైన
malignancy,క్రౌర్యము
malignant,దోషకారి
malignant neoplastic disease,క్యాన్సర్
malignantly,క్రౌర్యముగా
maligner,విమర్శకుడు
malingerer,బూటకాలామారి
mall,కొయ్యగూటము
malleability,నయము
malleable,నయముగల
mallet,కొయ్యగూటము
malodor,కంపు
malodour,కంపు
malpractice,దుర్మార్గము
maltreat,రచ్చపెట్టుట
malversation,మోసము
malwa,మాళవదేశము
mama,అమ్మా
mammon,ధనపిశాచము
man,పురుషుడు
man of affairs,వర్తకుడు
manacle,బేడీలు
manacles,చేతిసంకెళ్లు
manage,నిభాయించుట
manageable,సాధ్యమైన
managed,నిర్వహించబడ్డ
management,నిర్వాహకము
manager,నిర్వాహకుడు
manchet,చిన్నరొట్టె
mandarin,అధికారి
mandate,శాసనము
mandatory,ఖచ్చితంగా
mandible,దవడ
manducate,నమలుట
mane,జూలు
manege,అశ్వసిక్ష
manes,ప్రేతము
maneuverer,విన్యాసం
manful,ధైర్యముగల
Mangalore,కబ్డాల్బందరు
mange,గజ్జి
mangel-wurzel,వొకవిధమైనగడ్డ
manger,గాడి
