PA,నాన్న
pabulum,ఆహారము
pace,అంగ
pacer,కుచ్చిగుర్రము
pacha,అధికారి
pacific,శాంతమైన
pacification,సంధిచేయడము
pacify,సముదాయించుట
pack,కట్ట
packed,కట్టిన
packet,కట్ట
packhorse,కంట్లపుగుర్రము
packsaddle,గంత
pact,వొడంబడిక
pad,కుదురు
paddle,తెడ్డు
paddock,అయకట్టు
paddy,వడ్లు
padlock,కప్పతాళము
paean,కీర్తన
pagan,అన్యమతస్థుడు
paganism,అన్యమతత్వము
page,పొరట
pageant,ఆడంబరము
pageantry,ఆడంబరము
pagoda,గుడి
paid,ఉచితమైన
pail,మానిముంత
pailful,ముంతెడు
pain,వేదన
pained,వ్యాకులపడ్డ
painful,ఆయాసకరమైన
painfully,బాధగా
paint,రంగు
paintbrush,కుంచె
painted,పూసిన
painter,చిత్రకారుడు
painting,చిత్తరువు
pair,జత
pair of scissors,కత్తెర
pair of tongs,పటకార
palace,నగరు
paladin,మహాశూరుడు
palankeen,పల్లకీ
palas,మోదుగచెట్టు
palatable,మధురమైన
palate,అంగిలి
palatine,రాజు
palaver,వాగ్వాదము
pale,కూచము
paleness,తెలుపు
palfrey,గుర్రము
palisade,గ్రాది
pall,తెర
palladium,కల్పవృక్షము
palled,నిస్సారమైన
palliate,పూసిపెట్టుట
palliative,ఉపశమనము
pallid,తెల్లపారిన
palm,అరచేయి
palmerworm,ఆకుపురుగు
palmistry,సాముద్రికము
palmy,తాటిచెట్లుగల
palpable,ప్రత్యక్షమైన
palpebra,కనురెప్పలు
palpitate,అదురుట
palpitation,ఆడడము
palsy,పక్షవాతము
paltering,పితలాటకము
paltry,తుచ్ఛమైన
pamper,కూరుట
pamphlet,పుస్తకము
pan,చట్టి
Pan troglodytes,చింపాంజీ
pancake,అట్టు
pandal,పందిల
pandar,కుంటెనగాడు
pander,బడవా
pane,ఘనరూపతలము
panegyric,స్తవము
panegyrical,సోత్రమైన
panegyrize,శ్లాఘించుట
pang,పోటు
panic,భయము
pannier,బుట్ట
panoply,కవచము
panorama,నల్దిక్కులు
Pansa,పుష్యం
pant,రోజుట
pantaloons,గుడిగి
panther,చిరుతపులి
Panthera pardus,చిరుతపులి
pantile,దోసెపెంకు
panting,రోజు
pantofles,ముచ్చెలు
pap,చన్ను
papa,అప్ప
papaw,పేరాముదము
paper,కాకితము
paper bag,సంచి
paperlike,కాగితము
papers,దస్తావేజు
papery,కాగితము
pappa,నాన్న
pappy,మెత్తని
par,యీడు
Para rubber tree,రబ్బరు
parable,కథ
parabolically,ఉపమానముగా
paraclete,ఓదర్చేవాడు
parade,ఆడంబరము
paradigm,ఉదాహరణ
Paradise,స్వర్గం
paradise,స్వర్గం
paradisiacal,అతిసుఖకరమైన
paradox,అసంబంధము
paradoxical,అసంబంధమైన
paradoxically,విరుద్ధముగా
paragon,ఉత్తమమైనది
paragraph,పద్దు
parallel,సమత్వము
parallelism,బరాబరి
paralysis,పక్షవాయువు
paralytic,దుర్బలమైన
paralytical,దుర్బలమైన
paramount,ప్రబలమైన
parapet,చెయిగోడ
paraphernalia,సారె
paraphrase,అభిప్రాయవివరణము
Parent,తల్లితండ్రులు
paring,పొట్టు
Parliament,పార్లమెంటు
parliamentary committee,సంసదియ కార్యవర్గము
parlor,రచ్చబండ
parlour,రచ్చబండ
parroquet,చిలుక
parrot,చిలుక
parry,తప్పించుట
parsimonious,పిసినారి
parson,పాదరి
part,అంశము
partaker,భాగరి
parted,ఎడబాసిన
partial,అసంపూర్ణమైన
partiality,పక్షపాతము
partially,అసమగ్రముగా
participate,అనుభవించుట
participation,అనుభవము
participator,అనుభోగి
participle,అసమాపక క్రియ
particle,అణువు
particolored,రంగురంగుల
particoloured,చిత్రవర్ణనములుగల
particular,విశేషము
particularism,ప్రత్యేకవాదము
particularity,వివరము
particularize,వివరించుట
particularly,ముఖ్యముగా
parting,వీడ్కోలు
partisan,పక్షస్థుడు
