quack,కూసుట
quadrangle,చౌకము
quadrangular,చచ్చౌకమైన
quadrate,సరిపడుట
quadruped,పశువు
quadruple,నాలుగింతలు
quadruplet,నాలుగు
quaff,తాగుట
quaggy,చితచితలాడే
quail,పక్కి
quaint,చమత్కారమైన
quaintness,చమత్కారము
quake,కంపించుట
quakers,పరమేకాంతులు
qualification,యోగ్యత
qualified,అర్హమైన
quality,గుణము
qualmishness,వికారము
quandary,దుస్థితి
quantity,పరిమాణము
quantum,పరిమాణము
quare,ప్రశ్న
quarrel,కలహము
quarrelsome,కలహగంటియైన
quart,కాలుగాలము
quarter,కాలు
quarterly,త్రైమాసిక
quarterstaff,బాణా
Quartet,నాలుగు
quash,తోసివేసుట
quatern,నాలుగు
Quaternary,నాలుగు
quaternion,నాలుగు
quaternity,నాలుగు
quatrain,శ్లోకము
quaver,వాగు
quay,ఘట్టము
quean,చెడ్డముండ
queasiness,గుండ్రింపు
queasy,గుండ్రించే
queen regnant,రాణి
queerly,అద్భుతముగా
queerness,వింత
quell,అణచుట
quelled,అణచబడ్డ
queller,అణచేవాడు
quench,అణచుట
quenchable,అణచతగ్గ
quenchless,అణగని
querimonious,యేడ్చే
querist,అడిగేవాడు
quest,వెతకడము
quester,గూఢచారి
question,ప్రశ్న
questionable,సందేహాస్పదమైన
questionless,నిస్సందేహముగా
quibble,శ్లేష
quick,చిగురు
quick-tempered,కోపిష్టియైన
quick-witted,తెలివైన
quicken,తీవ్రించుట
quickly,చురుకుగా
quickness,వేగము
quicksilver,పాదరసము
quiddity,తత్వము
quiescence,నివృత్తి
quiescent,అణిగివుండే
quiet,అమరిక
quietism,మౌనవృత్తి
quietist,శాంతిపరుడు
quietly,నిమ్మళముగా
quietness,అమరిక
quietude,విశ్రమము
quilt,జమిలిదుప్పటి
Quint,ఐదు
Quintall,క్వింటాలు
quintessence,సత్త
quintet,ఐదు
quintuple,అయిదింతలైన
quintuplet,ఐదు
quip,యెగతాళి
quit,విడుచుట
quite,తీరా
quite a little,రాశి
quitrent,నేలవరి
quits,సరి
quitted,త్యజించిన
quiver,అంబులపొద
quivering,కంపించే
quiz,చోద్యమైన
quizzical,కుచోద్యమైన
quizzing,కుచోద్యము
quodlibet,చమత్కారము
quoit,చక్రము
quondam,పురాతనమైన
quota,అంశము
quotation,ఉదాహరణ
quote,ఉదాహరించుట
quotidian,సంభవించే
quotient,లబ్ధము
