S,క్షణము
sabbath,ఆదివారము
sablefish,ఉల్లంకి
saccharide,కార్బోహైడ్రేట్
saccharine,తీపైన
sackcloth,గోనెపట్ట
sacking,కొల్ల
sacrament,దివ్యము
sacred,పావనమైన
sacredness,పరిశుద్ధత
sacrifice,యజ్ఞము
sacrilege,దత్తాపహారము
sacrilegious,దైవద్రోహమైన
sad,దుఃఖమైన
saddle,జీని
sadly,చెరుపుగా
sadness,ఖేదము
safeguard,అంపుదోడు
safely,భద్రముగా
safety,క్షేమము
saffron,కుంకుమపువ్వు
saffron crocus,కుంకుమపువ్వు
sagacious,చతురమైన
sagacity,చతురత
sage,పండితుడు
Sagittarius,ధనుర్రాసి
Sagittarius the Archer,ధనుస్సురాశి
sail,వాడచాప
sailing,వాడపోవడము
sailor,వాడవాడు
saint,మహాపురుషుడు
sainted,శ్రీ
Sakartvelo,జార్జియా
sake,కోసము
sal,ఉప్పు
salacious,కామాతురముగల
salaciously,కామాతురముగా
salad,అపక్వశాకాదివ్యంజనము
salaried,జీతగాడు
salary,జీతము
sale,అమ్మకము
saleable,గిరాకిగల
saleroom,దుకాణము
sales rep,అమ్ముట
sales representative,అమ్ముట
salesman,అమ్మేవాడు
salesperson,అమ్ముట
salesroom,దుకాణము
salientian,కప్ప
saline,ఉప్పుగాఉండే
saliva,చొంగ
sallow,పాలిన
sally,నిర్గమనము
sally forth,బయిలుదేరుట
salmon,మత్స్యభేదము
salt,లవణము
salt pit,ఉప్పళము
salt-pan,ఉప్పళము
saltness,ఉప్పన
saltpeter,యురేనియం
saltpetre,పెట్లుప్పు
saltworks,ఉప్పళము
salubrious,ఆరోగ్యకరమైన
salubrity,ఆరోగ్యత
salutariness,ఆరోగ్యత
salutary,అనుకూలమైన
salutation,వందనం
salute,నమస్కారము
salvation,త్రాణము
salve,చరిమేమందు
same,సమానమైన
Same,సమానమైన
sample,మచ్చు
sanatarium,ఆస్పత్రి
sanatory,ఆరోగ్యకరమైన
sanctified,పవిత్రమైన
sanctify,పరిశుద్దముచేసుట
sanctimonious,దొంగభక్తిగల
sanction,అంగీకారము
sanctity,పవిత్రత
sanctuary,మహాపవిత్రస్థానము
Sand,ఇసుక
sand,ఇసుక
sandbank,ఇసుకదిబ్బ
sanded,ఇసుకపరచిన
sandhill,ఇసుకదిబ్బ
sangfroid,అనాయాసముగా
sanguinary,అఘోరమైన
sanies,చీము
sanitary,వైధ్యసంబందమైన
sanity,స్వస్థచిత్తము
Sanscrit,గీర్వాణము
Sanskritic language,సంస్కృతం
santon,భక్తుడు
sap,తైలము
sapidity,రుచి
sapience,జ్ఞానము
sapient,ప్రజ్ఞావంతుడైన
sapless,ఎండిన
sappanwood,పట్టరంగము
sapper,తవ్వేవాడు
sapphire,నీలమణి
sarcasm,తిరస్కారము
sarcastic,దూషించే
sarcastically,తిరస్కారముగా
sardonic,క్రూరమైన
sardonically,క్రూరముగా
sardonyx,కురువిందము
saree,చీర
Sari,చీర
sarsaparilla,సుగందిపాల
sash,దట్టి
sashay,గర్వపడుట
Satan,దెయ్యం
satanic,అతిపాపిష్టియైన
satanical,అతిపాపిష్టియైన
satanically,క్రూరముగా
sate,తృప్తిచేసుట
sated,తృప్తిపొందిన
satellite,కింకరుడు
satiate,తృప్తిచేసుట
satiated,తనివితీరిన
satiety,తనివి
satinwood,బిల్లు
satire,హాస్యకావ్యము
satiric,ఎగతాళీయైన
satirical,ఎగతాళీయైన
satirically,ఎగతాళిగా
satirize,ఎగతాళిచేసుట
satisfaction,సమాధానము
satisfactorily,ఒప్పిదముగా
satisfactory,ఒప్పిదమైన
satisfied,తనివితీరిన
satisfy,తుష్టిచేసుట
satisfying,మంత్రం
satrap,అధికారి
saturate,తడిముద్దచేసుట
saturday,మందవారము
Saturn,బ్రహ్మపేరు
satyr,కొంటె
sauce,అనుపానము
saucer,తట్ట
saucily,కొంటెతనముగా
sauciness,కొంటెతనము
saucy,పోకిరైన
saul,అశ్వకణిర్క
saunter,తిరగడము
sauntering,విహరించడము
savage,క్రూరుడు
savagely,క్రూరముగా
savant,శాస్త్రి
save,కాపాడుట
saved,కడతేర్చబడ్డ
saver,కూడబెట్టేవాడు
saving,కూడబెట్టే
savingly,మోక్షముకలిగేటట్టుగా
savings,పెట్టుబడి
Savior,ఏసుక్రీస్తు
saviour,ఏసుక్రీస్తు
Saviour,ఏసుక్రీస్తు
