V,ఐదు
vacancy,శూన్యము
vacant,ఉత్త
vacate,ఖాలీచేసుట
vacation,విడుపు
vaccination,టీకా
vaccine,గవ్యమైన
vacillate,ఆడుట
vacillating,ఊగులాడే
vacillation,అస్థిరము
vacuum,శూన్యము
vagabond,సంచరించే
vagary,చపలచిత్తము
vague,అనిశ్చయమైన
vain,నిష్ఫలమైన
vainly,నిష్ఫలముగా
vale,పల్లము
valetudinarian,అశక్తుడు
valetudinarianism,క్షీణించుట
valiance,శౌర్యం
valiancy,శౌర్యం
valiant,నిర్భయుడైన
valid,దృఢమైన
validity,గట్టి
validness,సమయం
valley,లోయ
valor,శౌర్యం
valorously,పరాక్రమముగా
valorousness,శౌర్యం
valour,ధైర్యము
valuable,విలువైన
value,యోగ్యత
value orientation,నీతి
value-system,నీతి
valued,మతింపువేయబడ్డ
valueless,అల్పమైన
values,సమ్మతి
valve,మూత
vamp up,చక్కపెట్టుట
vampire,ఢాకిని
Vandal,హంతకుడు
vanish,అంతర్ధానమైనపోవుట
vanishing,అంతర్ధానమయ్యే
vanity,అహంకారము
vanquish,గెలుచుట
vanquished,జయించపడ్డ
vantage,లాభము
vapid,రుచిలేని
vapour,ఆవిరి
variable,అనిత్యమైన
variance,పగ
variation,భేదము
varicolored,రంగురంగుల
varicoloured,రంగురంగుల
variety,విశేషము
various,చిత్రవిచిత్రమైన
variously,నానావిధముగా
varlet,తుంటకుర్రవాడు
vary,భేదపరుచుట
vase,కలశము
vassal,దాసుడు
vassalage,దాసత్వము
vast,బ్రహ్మాండమైన
vastly,నిండా
vastness,అధికత
vat,తొట్టి
vault,గుహ
vaunt,స్వస్తోత్రముచేసుట
veda,వేదము
veer,తిరుగుట
vegetate,పెరుగుట
vehement,ఉగ్రమైన
vehemently,అత్యుగ్రముగా
vehicle,గుర్రము
veil,తెర
vein,నరం
veined,చారలుగల
veins,నరాలు
velocity,త్వర
velvet,మఖమల్
vend,అమ్ముట
vender,అమ్మేవాడు
vendible,విక్రయించతగ్గ
vendor,అమ్మేవాడు
vendue,వేలంపాట
venerable,గణ్యమైన
venerated,పూజ్యమైన
venery,రతి
vengeance,దండన
venial,క్షమించదగిన
venomous,విషముయెక్కే
venomously,క్రూరముగా
venomousness,క్రూరత్వము
vent,అమ్మకము
venter,కడుపు
ventricle,కడుపు
venture,సాహసము
venturesome,నిర్భయమైన
venturous,నిర్భయమైన
Venus,శుక్రుడు
veracious,ప్రామాణికమైన
veracity,ప్రామాణికత
veranda,వరండా
verandah,వరండా
verbal description,టూకీగా
verbal expression,తెలియచేయుట
verbalise,పగులు
verbalised,స్పష్టమైన
verbaliser,వక్త
verbalism,తెలియచేయుట
verbalize,పగులు
verbalized,స్పష్టమైన
verbalizer,వక్త
verbally,నోటిమాటలుగా
verbatim,నిర్వ్యత్యాసముగా
verbiage,గ్రంథపుష్టి
verbose,శబ్దపుష్టిగల
verdict,తీర్పు
verdure,పచ్చిక
verge,దండము
veriest,పిచ్చి
verification,నిశ్చయముచేయడము
verified,నిరూపించబడ్డ
verify,నిజపరచుట
verily,యథార్థముగా
vermicelli,తేనెతొలలు
vermicular,పురుగులవంటి
vermin,పరుగులు
vernacular,దేశ్యమైన
versatile,చమత్కారముగల
versatility,చమత్కారము
verse,చరణము
verse form,కావ్యము
verse line,పాదము
versed in,సమర్థతగల
versification,శ్లోకరచనము
version,భాషాంతరము
verst,ముక్కాలుమైలు
vertebral column,వెన్నెముక
vertebrate,వెన్నెముక
vertebre,కీళ్ళు
vertigo,తలదిమ్ము
vertu,వింత
vervain,బొక్కెనాకు
very,అదే
very much,ఎక్కువ
vespers,సంధ్యావందనము
vessel,కుండ
vest,ధోవతి
vestal,కన్యపడుచు
vestige,గురుతు
vesture,ఉడుపు
veto,కారాదనడము
vex,తొందరపెట్టుట
vexation,చిరాకు
vexatious,ఆయాసకరమైన
vexed,ఆయాసపడ్డ
VI,ఆరు
via,దోవన
vibrate,ఊగుట
