wacko,పిచ్చివాడు
wad,బిళ్ళ
wadding,దిండు
wafer-thin majority,అతిస్వల్పాధిక్యత
waft,కొట్టుకొనిపోవుట
wafted,కట్టుకొనివచ్చిన
wag,ఆడించుట
wage,చేసుట
waged,చేసిన
wager,జూదము
wages,ప్రతిఫలము
waggish,ఎగతాళిఐన
waggishly,ఎగతాళిగా
wagon,భారవాహనము
waif,దిక్కుమాలినది
wail,గోల
wailing,గోల
wainscot,సన్నపలక
waist,నడుము
waistband,నడికట్టు
waistcoat,అరచొక్కాయ
waistline,నడుము
wait,ఆలస్యము
waiter,పనివాడు
waiting,ఎదురుచూచుట
wake,సంత
wakeful,జాగరూకతగల
wakefulness,మెళుకువ
waking,జాగరూకత
walk,గమనము
walker,నడిచేవాడు
walking stick,కర్ర
wall,గోడ
walled,గోడలుగల
wallet,అసిమిసంచి
walleyed,కాయకన్నుగల
walloping,భారిగా
wallow,పొర్లాడుట
walnut,అక్రోటుకాయ
wampum,పాలపూసలు
wand,చువ్వ
wander,తిరుగుట
wanderer,అల్లాడేవాడు
wandering,తిరగడము
wane,క్షయించుట
waning moon,ఇరులపెడ
want,అక్కర
wanted,అగత్యమైన
wanting,లేకేవుండే
wanton,కాముకుడైన
wantonly,పోకిరితనముగా
wantonness,కొంటెతనము
wapentake,తాలూకా
war,కయ్యము
war paint,అలంకరణ
warble,పాడుట
warblingly,కలకల
Ward,సంరక్షకత్వము
ward,పేట
ward off,తట్టగొట్టుట
warder,తలారి
wardrobe,ఉడుపు
wards,వైపుకు
wardship,పాలనము
ware,ఉత్పాదము
warlike,యుద్ధసంబంధమైన
warlock,తోడుబోతు
warming,వెచ్చన
warmly,ఉగ్రముగా
warmth,ఉష్ణము
warn,ఎరుకచేసుట
warning,ఎచ్చరికచేయడము
warp,వంగుట
warped,వంగిన
warrant,అనుమతియిచ్చుట
warranted,అధికారమివ్వబడ్డ
warren,శశవనము
warrior,ధీరుడు
wary,ఎచ్చరికగల
wash,ఉతుకుట
washbasin,సింక్
washbowl,సింక్
washed,ఉతకబడ్డ
washerman,చాకలవాడు
washerwoman,చాకలది
washing,ఉతికే
washleather,మెత్తనితోలు
washstand,సింక్
washy,జబ్బైన
wasp,కందిరీగ
wassailer,తాగుబోతు
wastage,తరుగు
waste,బీడు
waste book,దినవహి
wasted,కృశించిన
wastefulness,దురర్వయము
wasting,పాడుచేశే
watch,కావలి
watchfulness,జాగ్రత
watchman,తలవరి
watchword,ముఖ్యమైనమాట
water,నీరు
water ice,మంచు
water snake,నీళ్ళపాము
water sport,ఈదుట
water-closet,మరుగుపెరడు
water-mark,కాకితపుముద్ర
waterage,కేవు
watercourse,కాలవ
watered,నీళ్ళకట్టబడ్డ
waterfall,సెలయేరు
watering,నీళ్ళుకట్టడము
waterlessness,పొడి
waterman,నీళ్ళవాడు
watermelon,కరుబూజుపండు
watermelon vine,పుచ్చకాయ
waterpot,నీళ్ళకుండ
wattled,అల్లిన
wave,తరంగం
wavelength,తరంగదైర్ఘ్యం
waver,ఆడుట
wavering,వూగులాడే
waving,ఊగులాడే
wavy,అలలుగల
wax light,మైనపువత్తి
waxed,అయిన
waxen,అయిన
waxing moon,వెండిపెడ
waxlike,మైనపు
waxy,మెత్తని
way,దారి
wayfaring,దోవనడిచే
waylay,దోవకట్టుట
wayward,అణగని
waywardly,అవిధేయుడుగా
we,మేము
weak,జబ్బైన
weaken,బలహీనముచేసుట
weakly,బలహీనమైన
weakness,ఆశక్తి
weald,పోళ్ళు
wealthy,ఐశ్వర్యముగల
wealthy person,ధనికుడు
weapon,ఆయుధము
weapon system,ఆయుధము
wear,అరగడము
wearable,దుస్తులు
wearied,అలసిన
weariness,అలసట
Wearing,క్షీణించుట
wearing away,క్షీణించుట
wearisome,విసుగు
weary,అలియగొట్టుట
wearying,అలసిపోయిన
weather,కాలము
weathercock,గాలిపడగ
weatherwise,కాలజ్ఞానియైన
weave,అల్లుట
