yam,పెండలపుగడ్డ
Yama,యమ
yard,గజము
yarn,దారం
yawl,దోనె
yawn,ఆవలింత
ycleped,అనబడ్డ
yea,ఔను
year,ఏడాది
yearly,చేసే
yearn,నోచ్చుట
years,వృద్దాప్యము
yeast,కాడి
yell,కూత
yellow,పచ్చని
yellowness,పళిమి
yeoman,కాపవాడు
yes,అవును
yesterday,నిన్న
yesteryear,గడిచిన
yet,ఇంకా
yield,పంట
yielding,అణిగే
yoke,నొగ
yokefellow,సహకారి
yokelish,మోటైన
yore,గడిచిన
you,నీవు
Young,పిల్లలు
young,బిడ్డలు
young buck,యువకుడు
young lady,యువతి
young man,యువకుడు
young person,యువకుడు
young woman,యువతి
younger,మరీచిన్న
younger brother,తమ్ముడు
younger sister,చెల్లి
youngling,కూన
younker,యువకుడు
your,మీ
yourself,నీవే
youth,పశితనము
youthful,పశి
Yugoslavian dinar,దీనార్
yummy,రుచికరమైన
